Make,Doors,Body style,Num of cylinders,Engine size,Compression ratio,Horsepower,Peak rpm,City mpg,Highway mpg,Price,Horsepower binned,Diesel,Gas
MAZDA,4,sedan,four,0.2791411042944785,9.0,68,5000,31,38,6695.0,Low,0,1
ISUZU,4,sedan,four,0.34049079754601225,8.5,78,4800,24,29,6785.0,Low,0,1
MAZDA,2,hatchback,four,0.2791411042944785,9.0,68,5000,31,38,6795.0,Low,0,1
NISSAN,4,sedan,four,0.29754601226993865,9.4,69,5200,31,37,6849.0,Low,0,1
HONDA,2,hatchback,four,0.2822085889570552,9.2,76,6000,31,38,6855.0,Low,0,1
TOYOTA,4,wagon,four,0.2822085889570552,9.0,62,4800,31,37,6918.0,Low,0,1
TOYOTA,4,sedan,four,0.3006134969325153,9.0,70,4800,30,37,6938.0,Low,0,1
MITSUBISHI,4,sedan,four,0.37423312883435583,8.5,88,5000,25,32,6989.0,Low,0,1
SUBARU,2,hatchback,four,0.3312883435582822,8.7,73,4400,26,31,7053.0,Low,0,1
SUBARU,4,sedan,four,0.3312883435582822,9.5,82,4800,32,37,7126.0,Low,0,1
HONDA,2,hatchback,four,0.2822085889570552,9.2,76,6000,30,34,7129.0,Low,0,1
TOYOTA,4,hatchback,four,0.3006134969325153,9.0,70,4800,30,37,7198.0,Low,0,1
HONDA,4,sedan,four,0.2822085889570552,9.2,76,6000,30,34,7295.0,Low,0,1
HONDA,4,wagon,four,0.2822085889570552,9.2,76,6000,30,34,7295.0,Low,0,1
NISSAN,2,sedan,four,0.29754601226993865,9.4,69,5200,31,37,7299.0,Low,0,1
NISSAN,4,wagon,four,0.29754601226993865,9.4,69,5200,31,37,7349.0,Low,0,1
MAZDA,4,sedan,four,0.2791411042944785,9.0,68,5000,31,38,7395.0,Low,0,1
SUBARU,4,wagon,four,0.3312883435582822,9.0,82,4800,28,32,7463.0,Low,0,1
NISSAN,4,sedan,four,0.29754601226993865,9.4,69,5200,31,37,7499.0,Low,0,1
SUBARU,2,hatchback,four,0.3312883435582822,8.7,73,4400,26,31,7603.0,Low,0,1
PLYMOUTH,4,sedan,four,0.3006134969325153,9.4,68,5500,31,38,7609.0,Low,0,1
DODGE,4,sedan,four,0.27607361963190186,9.4,68,5500,31,38,7609.0,Low,0,1
MITSUBISHI,2,hatchback,four,0.3006134969325153,7.6,102,5500,24,30,7689.0,Low,0,1
TOYOTA,4,sedan,four,0.3006134969325153,9.0,70,4800,38,47,7738.0,Low,0,1
SUBARU,4,sedan,four,0.3312883435582822,9.5,82,4400,28,33,7775.0,Low,0,1
NISSAN,2,hatchback,four,0.29754601226993865,9.4,69,5200,31,37,7799.0,Low,0,1
HONDA,2,hatchback,four,0.3374233128834356,9.0,86,5800,27,33,7895.0,Low,0,1
TOYOTA,4,wagon,four,0.2822085889570552,9.0,62,4800,27,32,7898.0,Low,0,1
DODGE,2,hatchback,four,0.3006134969325153,7.6,102,5500,24,30,7957.0,Low,0,1
PLYMOUTH,2,hatchback,four,0.3006134969325153,7.6,102,5500,24,30,7957.0,Low,0,1
VOLKSWAGEN,2,sedan,four,0.3343558282208589,9.0,85,5250,27,34,7975.0,Low,0,1
NISSAN,4,wagon,four,0.29754601226993865,9.4,69,5200,31,37,7999.0,Low,0,1
SUBARU,4,wagon,four,0.3312883435582822,9.0,82,4800,23,29,8013.0,Low,0,1
TOYOTA,2,sedan,four,0.3006134969325153,9.0,70,4800,29,34,8058.0,Low,0,1
MITSUBISHI,4,sedan,four,0.37423312883435583,8.5,88,5000,25,32,8189.0,Low,0,1
VOLKSWAGEN,4,sedan,four,0.3343558282208589,9.0,85,5250,27,34,8195.0,Low,0,1
TOYOTA,2,hatchback,four,0.3006134969325153,9.0,70,4800,29,34,8238.0,Low,0,1
NISSAN,2,hardtop,four,0.29754601226993865,9.4,69,5200,31,37,8249.0,Low,0,1
TOYOTA,4,hatchback,four,0.3006134969325153,9.0,70,4800,28,34,8358.0,Low,0,1
TOYOTA,2,hardtop,four,0.4478527607361963,9.3,116,4800,24,30,8449.0,Low,0,1
MAZDA,4,sedan,four,0.37423312883435583,8.6,84,4800,26,32,8495.0,Low,0,1
VOLKSWAGEN,4,sedan,four,0.3343558282208589,9.0,85,5250,27,34,8495.0,Low,0,1
MITSUBISHI,2,hatchback,four,0.37423312883435583,8.5,88,5000,25,32,8499.0,Low,0,1
DODGE,4,sedan,four,0.3006134969325153,7.6,102,5500,24,30,8558.0,Low,0,1
TOYOTA,4,wagon,four,0.2822085889570552,9.0,62,4800,27,32,8778.0,Low,0,1
HONDA,4,sedan,four,0.3374233128834356,9.0,86,5800,27,33,8845.0,Low,0,1
MAZDA,2,hatchback,four,0.37423312883435583,8.6,84,4800,26,32,8845.0,Low,0,1
DODGE,4,wagon,four,0.37423312883435583,8.5,88,5000,24,30,8921.0,Low,0,1
PLYMOUTH,4,wagon,four,0.37423312883435583,8.5,88,5000,24,30,8921.0,Low,0,1
TOYOTA,4,sedan,four,0.37423312883435583,8.7,92,4200,29,34,8948.0,Low,0,1
NISSAN,4,hatchback,four,0.3680981595092024,8.5,97,5200,27,34,8949.0,Low,0,1
HONDA,2,hatchback,four,0.3374233128834356,9.0,86,5800,27,33,9095.0,Low,0,1
SUBARU,4,sedan,four,0.3312883435582822,9.0,82,4800,24,25,9233.0,Low,0,1
TOYOTA,4,sedan,four,0.3006134969325153,9.0,70,4800,28,34,9258.0,Low,0,1
MITSUBISHI,4,sedan,four,0.3374233128834356,7.5,116,5500,23,30,9279.0,Low,0,1
MITSUBISHI,4,sedan,four,0.3374233128834356,7.5,116,5500,23,30,9279.0,Low,0,1
RENAULT,4,wagon,four,0.4049079754601227,8.7,104,5125,23,31,9295.0,Low,0,1
NISSAN,4,sedan,four,0.3680981595092024,8.5,97,5200,27,34,9549.0,Low,0,1
TOYOTA,2,hardtop,four,0.4478527607361963,9.3,116,4800,24,30,9639.0,Low,0,1
RENAULT,2,hatchback,four,0.4049079754601227,8.7,104,5125,23,31,9895.0,Low,0,1
MITSUBISHI,2,hatchback,four,0.3374233128834356,7.5,116,5500,23,30,9959.0,Low,0,1
SUBARU,4,sedan,four,0.3312883435582822,9.0,94,5200,26,32,9960.0,Low,0,1
VOLKSWAGEN,2,hatchback,four,0.3343558282208589,8.5,90,5500,24,29,9980.0,Low,0,1
TOYOTA,4,hatchback,four,0.37423312883435583,8.7,92,4200,27,32,9988.0,Low,0,1
TOYOTA,2,hatchback,four,0.4478527607361963,9.3,116,4800,24,30,9989.0,Low,0,1
VOLKSWAGEN,4,sedan,four,0.3343558282208589,10.0,100,5500,26,32,9995.0,Low,0,1
SUBARU,4,wagon,four,0.3312883435582822,9.0,94,5200,25,31,10198.0,Low,0,1
MAZDA,4,sedan,four,0.37423312883435583,8.6,84,4800,26,32,10245.0,Low,0,1
HONDA,4,sedan,four,0.3374233128834356,9.0,86,5800,27,33,10295.0,Low,0,1
HONDA,2,sedan,four,0.3374233128834356,9.1,100,5500,25,31,10345.0,Low,0,1
MAZDA,2,hatchback,four,0.37423312883435583,8.6,84,4800,26,32,10595.0,Low,0,1
TOYOTA,4,sedan,four,0.37423312883435583,8.7,92,4200,27,32,10898.0,Low,0,1
MAZDA,2,hatchback,two,0.2147239263803681,9.4,101,6000,17,23,10945.0,Low,0,1
ISUZU,2,hatchback,four,0.36503067484662577,9.2,90,5000,24,29,11048.0,Low,0,1
TOYOTA,2,hardtop,four,0.4478527607361963,9.3,116,4800,24,30,11199.0,Low,0,1
MAZDA,4,hatchback,four,0.37423312883435583,8.6,84,4800,26,32,11245.0,Low,0,1
TOYOTA,4,hatchback,four,0.37423312883435583,8.7,92,4200,27,32,11248.0,Low,0,1
SUBARU,4,sedan,four,0.3312883435582822,7.7,111,4800,24,29,11259.0,Low,0,1
TOYOTA,2,hatchback,four,0.4478527607361963,9.3,116,4800,24,30,11549.0,Low,0,1
VOLKSWAGEN,2,convertible,four,0.3343558282208589,8.5,90,5500,24,29,11595.0,Low,0,1
SUBARU,4,wagon,four,0.3312883435582822,7.7,111,4800,23,23,11694.0,Low,0,1
MAZDA,2,hatchback,two,0.2147239263803681,9.4,101,6000,17,23,11845.0,Low,0,1
SAAB,2,hatchback,four,0.3711656441717792,9.31,110,5250,21,28,11850.0,Low,0,1
PEUGOT,4,sedan,four,0.3680981595092024,8.4,97,5000,19,24,11900.0,Low,0,1
SAAB,4,sedan,four,0.3711656441717792,9.3,110,5250,21,28,12170.0,Low,0,1
VOLKSWAGEN,4,wagon,four,0.3343558282208589,9.0,88,5500,25,31,12290.0,Low,0,1
PEUGOT,4,wagon,four,0.3680981595092024,8.4,97,5000,19,24,12440.0,Low,0,1
VOLVO,4,sedan,four,0.4325153374233129,9.5,114,5400,23,28,12940.0,Low,0,1
HONDA,4,sedan,four,0.3374233128834356,9.0,101,5800,24,28,12945.0,Low,0,1
VOLKSWAGEN,4,sedan,five,0.4171779141104294,8.5,110,5500,19,24,13295.0,Low,0,1
VOLVO,4,wagon,four,0.4325153374233129,9.5,114,5400,23,28,13415.0,Low,0,1
ALFA-ROMERO,2,convertible,four,0.3987730061349693,9.0,111,5000,21,27,13495.0,Low,0,1
NISSAN,4,sedan,six,0.5552147239263804,9.0,152,5200,19,25,13499.0,Medium,0,1
NISSAN,4,sedan,six,0.5552147239263804,9.0,152,5200,17,22,13499.0,Medium,0,1
MAZDA,2,hatchback,two,0.2147239263803681,9.4,101,6000,17,23,13645.0,Low,0,1
AUDI,4,sedan,four,0.3343558282208589,10.0,102,5500,24,30,13950.0,Low,0,1
NISSAN,4,wagon,six,0.5552147239263804,9.0,152,5200,17,22,14399.0,Medium,0,1
SAAB,2,hatchback,four,0.3711656441717792,9.3,110,5250,21,28,15040.0,Low,0,1
AUDI,2,sedan,five,0.4171779141104294,8.5,110,5500,19,25,15250.0,Low,0,1
SAAB,4,sedan,four,0.3711656441717792,9.3,110,5250,21,28,15510.0,Low,0,1
PEUGOT,4,sedan,four,0.3680981595092024,8.4,95,5000,19,24,15580.0,Low,0,1
MAZDA,2,hatchback,two,0.24539877300613494,9.4,135,6000,16,23,15645.0,Medium,0,1
TOYOTA,4,sedan,six,0.5245398773006135,9.2,156,5200,20,24,15690.0,Medium,0,1
TOYOTA,4,wagon,six,0.4938650306748466,9.2,156,5200,19,24,15750.0,Medium,0,1
VOLVO,4,sedan,four,0.4325153374233129,9.5,114,5400,24,28,15985.0,Low,0,1
TOYOTA,2,hatchback,six,0.5245398773006135,9.3,161,5200,19,24,15998.0,Medium,0,1
BMW,2,sedan,four,0.3312883435582822,8.8,101,5800,23,29,16430.0,Low,0,1
ALFA-ROMERO,2,convertible,four,0.3987730061349693,9.0,111,5000,21,27,16500.0,Low,0,1
ALFA-ROMERO,2,hatchback,six,0.4662576687116564,9.0,154,5000,19,26,16500.0,Medium,0,1
MERCURY,2,hatchback,four,0.4294478527607362,8.0,175,5000,19,24,16503.0,Medium,0,1
VOLVO,4,wagon,four,0.4325153374233129,9.5,114,5400,24,28,16515.0,Low,0,1
TOYOTA,2,hatchback,six,0.5245398773006135,9.3,161,5200,20,24,16558.0,Medium,0,1
PEUGOT,4,sedan,four,0.3680981595092024,8.4,97,5000,19,24,16630.0,Low,0,1
PEUGOT,4,wagon,four,0.3680981595092024,8.4,95,5000,19,24,16695.0,Low,0,1
VOLVO,4,sedan,four,0.4325153374233129,9.5,114,5400,23,28,16845.0,Low,0,1
BMW,4,sedan,four,0.3312883435582822,8.8,101,5800,23,29,16925.0,Low,0,1
NISSAN,2,hatchback,six,0.5552147239263804,9.0,160,5200,19,25,17199.0,Medium,0,1
AUDI,4,sedan,five,0.4171779141104294,8.0,115,5500,18,22,17450.0,Low,0,1
TOYOTA,2,convertible,four,0.4478527607361963,9.3,116,4800,24,30,17669.0,Low,0,1
AUDI,4,sedan,five,0.4171779141104294,8.5,110,5500,19,25,17710.0,Low,0,1
SAAB,2,hatchback,four,0.3711656441717792,9.0,160,5500,19,26,18150.0,Medium,0,1
MAZDA,4,sedan,four,0.4294478527607362,8.0,120,5000,19,27,18280.0,Medium,0,1
NISSAN,2,hatchback,six,0.5552147239263804,9.0,160,5200,19,25,18399.0,Medium,0,1
VOLVO,4,sedan,four,0.3987730061349693,7.5,162,5100,17,22,18420.0,Medium,0,1
SAAB,4,sedan,four,0.3711656441717792,9.0,160,5500,19,26,18620.0,Medium,0,1
AUDI,4,wagon,five,0.4171779141104294,8.5,110,5500,19,25,18920.0,Low,0,1
VOLVO,4,wagon,four,0.3987730061349693,7.5,162,5100,17,22,18950.0,Medium,0,1
VOLVO,4,sedan,four,0.4325153374233129,8.7,160,5300,19,25,19045.0,Medium,0,1
BMW,2,sedan,six,0.5030674846625767,9.0,121,4250,21,28,20970.0,Medium,0,1
BMW,4,sedan,six,0.5030674846625767,9.0,121,4250,21,28,21105.0,Medium,0,1
VOLVO,4,sedan,six,0.5306748466257669,8.8,134,5500,18,23,21485.0,Medium,0,1
PORSCHE,2,hatchback,four,0.4631901840490798,9.5,143,5500,19,27,22018.0,Medium,0,1
VOLVO,4,sedan,four,0.4325153374233129,9.5,114,5400,19,25,22625.0,Low,0,1
AUDI,4,sedan,five,0.40184049079754597,8.3,140,5500,17,20,23875.0,Medium,0,1
BMW,4,sedan,six,0.5030674846625767,9.0,121,4250,20,25,24565.0,Medium,0,1
